slug,arquivo_original,ordem
bolsa-trader-joes,01_principal.jpg,1
bolsa-trader-joes,IMG_5599.jpeg,2
notebook-dell,IMG_5600.jpeg,1
notebook-dell,IMG_5601.jpeg,2
notebook-dell,IMG_5602.jpeg,3
capacete-rockrider,IMG_5603.jpeg,1
capacete-rockrider,IMG_5604.jpeg,2
capacete-rockrider,IMG_5605.jpeg,3
capacete-rockrider,IMG_5606.jpeg,4
teclado-logitech-k400,IMG_5607.jpeg,1
teclado-hp-slim,IMG_5608.jpeg,1
teclado-logitech-gpro,IMG_5609.jpeg,1
teclado-logitech-gpro,IMG_5610.jpeg,2
mouse-c3tech,IMG_5611.jpeg,1
roteador-tplink,IMG_5613.jpeg,1
roteador-tplink,IMG_5612.jpeg,2
mouse-logitech-pebble,IMG_5615.jpeg,1
mouse-logitech-pebble,IMG_5616.jpeg,2
cheirinhos-little-trees,IMG_5617.jpeg,1
cheirinhos-little-trees,IMG_5618.jpeg,2
cheirinhos-little-trees,IMG_5619.jpeg,3
cheirinhos-little-trees,IMG_5620.jpeg,4
tablet-galaxy-tab-s9-fe,IMG_5621.jpeg,1
tablet-galaxy-tab-s9-fe,IMG_5622.jpeg,2
tablet-galaxy-tab-s9-fe,IMG_5623.jpeg,3
kit-limpeza,IMG_5631.jpeg,1
abafador-howard-leight-kit,IMG_5635.jpeg,1
abafador-howard-leight,IMG_5638.jpeg,1
abafador-howard-leight,IMG_5639.jpeg,2
oculos-protetor-3m,IMG_5640.jpeg,1
oculos-protetor-3m,IMG_5641.jpeg,2
lego-game-boy,IMG_5642.jpeg,1
lego-game-boy,IMG_5643.jpeg,2
airtags,IMG_5645.heic,1
gancho-bike-decathlon,IMG_5655.heic,1
gancho-bike-decathlon,IMG_5656.heic,2
bicicleta-feminina-fks,PHOTO-2026-08-25-20-18-21 2.jpg,1
bicicleta-feminina-fks,PHOTO-2026-08-25-20-18-22 2.jpg,2
bicicleta-feminina-fks,PHOTO-2026-08-25-20-18-23 2.jpg,3
bicicleta-feminina-fks,PHOTO-2026-08-25-20-18-21 4.jpg,4
bicicleta-feminina-fks,PHOTO-2026-08-25-20-18-21 3.jpg,5
bicicleta-feminina-fks,PHOTO-2026-08-25-20-18-21.jpg,6
bicicleta-feminina-fks,PHOTO-2026-08-25-20-18-22.jpg,7
bicicleta-feminina-fks,PHOTO-2026-08-25-20-18-22 3.jpg,8
bicicleta-feminina-fks,PHOTO-2026-08-25-20-18-23.jpg,9
cadeiras-pingo,PHOTO-2026-08-25-20-21-17.jpg,1
cadeiras-pingo,PHOTO-2026-08-25-20-21-17 2.jpg,2
memoria-corsair-ddr4-16gb,IMG_5658.heic,1
memoria-corsair-ddr4-16gb,IMG_5659.heic,2
memoria-corsair-ddr4-16gb,IMG_5660.heic,3
hd-wd-purple-2tb,IMG_5661.heic,1
hd-wd-purple-2tb,IMG_5662.heic,2
hd-seagate-3tb,IMG_5664.heic,1
hd-seagate-3tb,IMG_5663.heic,2
ssd-corsair-240gb,IMG_5666.heic,1
ssd-corsair-240gb,IMG_5665.heic,2
ssd-corsair-240gb,IMG_5667.heic,3
