slug,nome,categoria,quantidade,preco,preco_referencia,fonte_referencia,status,descricao
notebook-dell,"Notebook Dell Inspiron 14 5402 — i7 11ª geração, 16GB, SSD 512GB",Eletrônicos,1,2969,,,vendido,"Dell Inspiron 14 5402 na cor Platinum Silver. Processador Intel Core i7-1165G7 de 11ª geração (4 núcleos, 8 threads, 12MB de cache, até 4.7 GHz), 16GB de RAM DDR4 3200MHz em dois pentes de 8GB trabalhando em dual channel, e SSD NVMe de 512GB. Placa de vídeo dedicada NVIDIA GeForce MX330 de 2GB GDDR5. Tela de 14 polegadas Full HD 1920x1080 antirreflexo, de borda fina. Teclado retroiluminado com leitor de digital no botão de ligar, bateria de 53Wh e fonte de 65W. Windows 10 Home original de fábrica. Funcionando perfeitamente, sem travamentos."
tablet-galaxy-tab-s9-fe,Tablet Samsung Galaxy Tab S9 FE+ Wi-Fi 128GB,Eletrônicos,1,2762,3385,Amazon,disponivel,"Galaxy Tab S9 FE Plus com 128GB de armazenamento, Wi-Fi. Acompanha a S Pen original e capa com suporte. Tela grande, ótima para leitura, estudo e streaming. Bateria em bom estado, sem marcas de uso na tela."
teclado-logitech-gpro,Teclado Mecânico Gamer Logitech G PRO TKL,Eletrônicos,1,375,639.99,KaBuM,disponivel,"Teclado mecânico Logitech G PRO no formato TKL (sem teclado numérico), layout US. Switches GX Blue Clicky, iluminação RGB LIGHTSYNC e cabo destacável. Todas as teclas funcionando, sem falhas."
teclado-logitech-k400,Teclado Logitech K400 Plus sem fio com touchpad,Eletrônicos,1,149,,,vendido,"Teclado sem fio Logitech K400 Plus com touchpad integrado — perfeito para usar com Smart TV ou PC na sala. Cor preta, receptor USB unifying incluso. Funcionando perfeitamente."
teclado-hp-slim,Teclado HP slim USB empresarial,Eletrônicos,1,98,,,disponivel,"Teclado HP slim com fio USB, layout ABNT2 completo com teclado numérico. Perfil baixo, digitação silenciosa. Linha empresarial, bem conservado e funcionando."
mouse-logitech-pebble,Mouse Logitech Pebble 2 M350s sem fio,Eletrônicos,1,48,99.90,KaBuM,disponivel,"Mouse sem fio Logitech Pebble 2 M350s com clique silencioso e design slim ambidestro. Conexão Bluetooth. Compacto, ideal para levar na mochila junto com o notebook."
mouse-c3tech,Mouse sem fio C3 Tech M-W20BK,Eletrônicos,1,39,,,disponivel,"Mouse sem fio C3 Tech M-W20BK, 2.4GHz com receptor USB, 1000dpi, cor preta. Botão de ajuste de DPI. Funcionando perfeitamente."
roteador-tplink,Roteador TP-Link N750 Dual Band Gigabit (TL-WDR4300),Eletrônicos,1,228,,,disponivel,"Roteador TP-Link N750 dual band (2.4GHz + 5GHz), portas gigabit e 3 antenas destacáveis. Modelo TL-WDR4300. Funcionando perfeitamente, resetado de fábrica antes da entrega."
airtags,Apple AirTag 2ª geração,Eletrônicos,3,256,369,Apple Brasil,disponivel,"AirTag da Apple para rastrear chaves, mochila, mala ou carro pelo app Buscar. Unidades avulsas, em ótimo estado. Bateria substituível (CR2032). Preço por unidade."
bicicleta-feminina-fks,Bicicleta Feminina FKS SPEC — MTB aro 29,Esporte e Bike,1,1187,,,disponivel,"Mountain bike aro 29 quadro em alumínio 6061, 21 marchas, freio a disco nas duas rodas e suspensão dianteira com trava. Selim Yamada, pedais com refletivo e descanso lateral. Cor rosa/preto. Pronta para pedalar."
